date,hour_start,price_sterling,price_dollar,notes
01/01/2016,23,30,39.3,
01/01/2016,0,31.1,40.741,
01/01/2016,1,37.58,49.2298,
01/01/2016,2,36.53,47.8543,
01/01/2016,3,29.91,39.1821,
01/01/2016,4,27.96,36.6276,
01/01/2016,5,29.88,39.1428,
01/01/2016,6,18.04,23.6324,
01/01/2016,7,12.75,16.7025,
01/01/2016,8,14.21,18.6151,
01/01/2016,9,20,26.2,
01/01/2016,10,31.07,40.7017,
01/01/2016,11,34.98,45.8238,
01/01/2016,12,40.9,53.579,
01/01/2016,13,37.25,48.7975,
01/01/2016,14,31.53,41.3043,
01/01/2016,15,34.52,45.2212,
01/01/2016,16,46.41,60.7971,
01/01/2016,17,64.5,84.495,
01/01/2016,18,39.55,51.8105,
01/01/2016,19,37.51,49.1381,
01/01/2016,20,35,45.85,
01/01/2016,21,34.94,45.7714,
01/01/2016,22,26.91,35.2521,
02/01/2016,23,33.6,44.016,
02/01/2016,0,34.07,44.6317,
02/01/2016,1,32.96,43.1776,
02/01/2016,2,21.53,28.2043,
02/01/2016,3,18,23.58,
02/01/2016,4,9.9,12.969,
02/01/2016,5,14.97,19.6107,
02/01/2016,6,20.74,27.1694,
02/01/2016,7,17,22.27,
02/01/2016,8,24.62,32.2522,
02/01/2016,9,34.93,45.7583,
02/01/2016,10,43.6,57.116,
02/01/2016,11,38.9,50.959,
02/01/2016,12,43.27,56.6837,
02/01/2016,13,37.1,48.601,
02/01/2016,14,35.22,46.1382,
02/01/2016,15,32.04,41.9724,
02/01/2016,16,32.5,42.575,
02/01/2016,17,70,91.7,
02/01/2016,18,55.08,72.1548,
02/01/2016,19,40.84,53.5004,
02/01/2016,20,37.55,49.1905,
02/01/2016,21,33.98,44.5138,
02/01/2016,22,33.15,43.4265,
03/01/2016,23,37.56,49.2036,
03/01/2016,0,37.51,49.1381,
03/01/2016,1,37.53,49.1643,
03/01/2016,2,34.96,45.7976,
03/01/2016,3,34.49,45.1819,
03/01/2016,4,29.82,39.0642,
03/01/2016,5,29.82,39.0642,
03/01/2016,6,25.41,33.2871,
03/01/2016,7,28.21,36.9551,
03/01/2016,8,24.98,32.7238,
03/01/2016,9,30.22,39.5882,
03/01/2016,10,31.03,40.6493,
03/01/2016,11,33.82,44.3042,
03/01/2016,12,39.63,51.9153,
03/01/2016,13,36.03,47.1993,
03/01/2016,14,34.5,45.195,
03/01/2016,15,30.24,39.6144,
03/01/2016,16,35,45.85,
03/01/2016,17,70,91.7,
03/01/2016,18,50.86,66.6266,
03/01/2016,19,40,52.4,
03/01/2016,20,38,49.78,
03/01/2016,21,33.98,44.5138,
03/01/2016,22,32.05,41.9855,
04/01/2016,23,33.75,44.2125,
04/01/2016,0,31.81,41.6711,
04/01/2016,1,35.55,46.5705,
04/01/2016,2,35.39,46.3609,
04/01/2016,3,33.91,44.4221,
04/01/2016,4,30.06,39.3786,
04/01/2016,5,29.82,39.0642,
04/01/2016,6,29.93,39.2083,
04/01/2016,7,30.57,40.0467,
04/01/2016,8,35.04,45.9024,
04/01/2016,9,37.99,49.7669,
04/01/2016,10,37.08,48.5748,
04/01/2016,11,40.11,52.5441,
04/01/2016,12,40.2,52.662,
04/01/2016,13,38.05,49.8455,
04/01/2016,14,35.05,45.9155,
04/01/2016,15,34.52,45.2212,
04/01/2016,16,40.79,53.4349,
04/01/2016,17,78.27,102.5337,
04/01/2016,18,42.81,56.0811,
04/01/2016,19,40.55,53.1205,
04/01/2016,20,43,56.33,
04/01/2016,21,36.06,47.2386,
04/01/2016,22,34,44.54,
05/01/2016,23,30.93,40.5183,
05/01/2016,0,29.99,39.2869,
05/01/2016,1,31.95,41.8545,
05/01/2016,2,29.97,39.2607,
05/01/2016,3,27.99,36.6669,
05/01/2016,4,24.32,31.8592,
05/01/2016,5,29.91,39.1821,
05/01/2016,6,43.01,56.3431,
05/01/2016,7,36.1,47.291,
05/01/2016,8,37.01,48.4831,
05/01/2016,9,36.2,47.422,
05/01/2016,10,35.86,46.9766,
05/01/2016,11,37.91,49.6621,
05/01/2016,12,38.8,50.828,
05/01/2016,13,34.95,45.7845,
05/01/2016,14,30.74,40.2694,
05/01/2016,15,30.7,40.217,
05/01/2016,16,43.03,56.3693,
05/01/2016,17,74.96,98.1976,
